from,to,distance_km,from_name,to_name,from_code,to_code
30,32,1495,Singapore,Vietnam,SG,VN
30,33,378,Singapore,Malaysia,SG,MY
30,34,4377,Singapore,Australia,SG,AU
30,35,8531,Singapore,New Zealand,SG,NZ
30,36,8389,Singapore,Fiji,SG,FJ
31,32,1764,Indonesia,Vietnam,ID,VN
31,33,1439,Indonesia,Malaysia,ID,MY
31,34,3457,Indonesia,Australia,ID,AU
31,35,7553,Indonesia,New Zealand,ID,NZ
31,36,7249,Indonesia,Fiji,ID,FJ
32,33,1295,Vietnam,Malaysia,VN,MY
32,34,5173,Vietnam,Australia,VN,AU
32,35,9164,Vietnam,New Zealand,VN,NZ
32,36,8428,Vietnam,Fiji,VN,FJ
33,34,4746,Malaysia,Australia,MY,AU
33,35,8897,Malaysia,New Zealand,MY,NZ
33,36,8685,Malaysia,Fiji,MY,FJ
34,35,4158,Australia,New Zealand,AU,NZ
34,36,4638,Australia,Fiji,AU,FJ
35,36,2596,New Zealand,Fiji,NZ,FJ
